word,pos,core_meaning_ko,alt_meanings_ko,example_en,example_ko,source_session,status,notes,entry_type,deck_tags,source_files,accepted_paraphrases_ko,grading_notes,common_confusions_ko,evidence_hint
"eclectic","adj","절충적인","여러 요소를 취한; 취향이 폭넓은","Her playlist is eclectic and hard to predict.","그녀의 재생목록은 절충적이어서 예측하기 어렵다.","2026-04-23_test_01","active","starter_seed","word","D8","decks/D8_voca.txt","절충적인; 여러 요소를 취한; 다양한 데서 골라 모은; 취향이 폭넓은","여러 출처/양식에서 골라 조합한다는 의미가 있어야 full credit; 다방면의만 쓰면 too broad partial","단명하는=ephemeral과 혼동; 전기적=electric과 형태 혼동; 그냥 다양한은 불충분할 수 있음","core_meaning_ko=절충적인; alt_meanings_ko=여러 요소를 취한/취향이 폭넓은; example_en=Her playlist is eclectic and hard to predict."
"intricate","adj","복잡하게 얽힌","정교한; 세밀한","The design is intricate but well balanced.","그 디자인은 복잡하게 얽혀 있지만 균형이 좋다.","2026-04-23_test_01","active","starter_seed","word","D8","decks/D8_voca.txt","","","",""
"potent","adj","강력한","효력이 큰; 설득력 있는","The medicine is potent enough to act quickly.","그 약은 빠르게 효과를 낼 만큼 강력하다.","2026-04-23_test_01","active","starter_seed","word","D8","decks/D8_voca.txt","","","",""
"peril","n","위험","위난; 위험한 상황","Many species are in peril because of habitat loss.","많은 종이 서식지 상실 때문에 위험에 처해 있다.","2026-04-23_test_01","active","starter_seed","word","D8","decks/D8_voca.txt","","","",""
"palatial","adj","궁전 같은","매우 호화로운","","","","active","deck_import","word","D8","decks/D8_voca.txt","","","",""
"turmoil","n","혼란","소동; 격변","","","","active","deck_import","word","D8","decks/D8_voca.txt","","","",""
"preeminent","adj","탁월한","뛰어난; 두드러진","","","","active","deck_import","word","D8","decks/D8_voca.txt","","","",""
"recompense","v/n","보상하다","보상; 배상","","","","active","deck_import; ambiguity=명사 뜻도 자주 쓰임","word","D8","decks/D8_voca.txt","","","",""
"crude","adj","조잡한","대략의; 가공되지 않은","","","","active","deck_import; ambiguity=문맥에 따라 원유 뜻도 있음","word","D8","decks/D8_voca.txt","","","",""
"proliferate","v","급증하다","증식하다; 확산되다","","","","active","deck_import","word","D8","decks/D8_voca.txt","","","",""
"assess","v","평가하다","산정하다; 가늠하다","","","","active","deck_import","word","D8","decks/D8_voca.txt","","","",""
"scrutiny","n","면밀한 조사","정밀 검토","","","","active","deck_import","word","D8","decks/D8_voca.txt","","","",""
"acute","adj","심각한","예리한; 급성의","","","","active","deck_import; ambiguity=예리한 뜻도 빈출","word","D8","decks/D8_voca.txt","","","",""
"inadvertently","adv","무심코","부주의하게","","","","active","deck_import","word","D8","decks/D8_voca.txt","","","",""
"arduous","adj","고된","힘든; 힘겨운","","","","active","deck_import; raw_duplicate_deduped","word","D8","decks/D8_voca.txt","","","",""
"materialize","v","실현되다","나타나다; 구체화되다","","","","active","deck_import; ambiguity=나타나다 뜻도 자주 쓰임","word","D8","decks/D8_voca.txt","","","",""
"demise","n","죽음","종말; 몰락","","","","active","deck_import; ambiguity=제도나 조직의 종말에도 쓰임","word","D8","decks/D8_voca.txt","","","",""
"deem","v","간주하다","여기다","","","","active","deck_import","word","D8","decks/D8_voca.txt","","","",""
"profuse","adj","풍부한","과도한; 많이 흘리는","","","","active","deck_import; ambiguity=문맥에 따라 과다함 강조","word","D8","decks/D8_voca.txt","","","",""
"ornament","n/v","장식물","장식하다","","","","active","deck_import; ambiguity=동사 용법도 있음","word","D8","decks/D8_voca.txt","","","",""
"demolish","v","파괴하다","철거하다","","","","active","deck_import","word","D8","decks/D8_voca.txt","","","",""
"voracious","adj","게걸스러운","탐욕스러운; 욕구가 왕성한","","","","active","deck_import; ambiguity=확장 용법으로 열렬함도 나타냄","word","D8","decks/D8_voca.txt","","","",""
"reform","v/n","개혁하다","개혁; 개선하다","","","","active","deck_import; ambiguity=명사 용법도 매우 흔함","word","D8","decks/D8_voca.txt","","","",""
"inclination","n","성향","경향; 기울기","","","","active","deck_import; ambiguity=기울기 뜻도 있음","word","D8","decks/D8_voca.txt","","","",""
"constituent","n","구성 요소","성분; 선거구민","","","","active","deck_import; ambiguity=유권자 뜻도 자주 쓰임","word","D8","decks/D8_voca.txt","","","",""
"insolent","adj","건방진","무례한","","","","active","deck_import","word","D8","decks/D8_voca.txt","","","",""
"be accompanied by","phrase","동반되다","~과 함께 오다; ~이 수반되다","","","","active","deck_import; phrase_entry","phrase","D8","decks/D8_voca.txt","","","",""
"broadly","adv","대체로","넓게; 광범위하게","The policy was broadly supported.","그 정책은 대체로 지지를 받았다.","2026-04-25_test_01","active","session_import","word","","sessions/2026-04-25_test_01.txt","대체로; 대략; 넓게; 광범위하게","mostly/generally sense는 대체로/대략이면 correct; physically wide sense는 넓게/광범위하게도 허용","broad=넓은으로만 답하면 문맥에 따라 partial","core_meaning_ko=대체로; alt_meanings_ko=넓게/광범위하게; source_session=2026-04-25_test_01"
"whereby","adv/conj","그것에 의하여","~하는 방식으로; 그것에 의해","They created a system whereby data could be shared safely.","그들은 데이터가 안전하게 공유될 수 있는 방식을 마련했다.","2026-04-25_test_01","active","session_import","word","","sessions/2026-04-25_test_01.txt","~에 의하여; 그것에 의하여; 그것에 의해; ~하는 방식으로","by which/by means of which 의미가 핵심; where=어디에만 답하면 wrong","where=어디에와 혼동; thereby=그렇게 하여와 혼동 가능","core_meaning_ko=그것에 의하여; alt_meanings_ko=~하는 방식으로/그것에 의해; source_session=2026-04-25_test_01"
"liberate","v","해방하다","자유롭게 하다; 석방하다","The movement sought to liberate the region.","그 운동은 그 지역을 해방하려 했다.","2026-04-25_test_01","active","session_import","word","","sessions/2026-04-25_test_01.txt","해방하다; 자유롭게 하다; 석방하다","free/release 의미가 핵심; 자유롭게 만들다까지 허용","liberal=자유주의의와 형태 혼동 가능","core_meaning_ko=해방하다; alt_meanings_ko=자유롭게 하다/석방하다; source_session=2026-04-25_test_01"
